From /home/will/bnl/hsr_lattice/EIC-HSR-240102b/hi-n/275-10-collision, run:
tao -init tao.init 
Then run:
sho track -points 1000 -twiss -dispersion -position no -momentum no
(Accurate as of April 5, 2024 - have to remove the px, py, pz columns manually)
# Ix S Beta_a Alpha_a Beta_b Alpha_b Eta_x Etap_x Eta_y Etap_y
222 848.138067 27.521211 -1.495944 20.349815 1.205499 1.390799 0.067963 0.000000 0.000000
223 851.975795 40.727132 -1.945031 12.872582 0.742850 1.681628 0.082501 0.000000 0.000000
224 855.813524 44.615864 2.059090 11.543402 -0.625771 1.761752 -0.082501 0.000000 0.000000
225 859.651253 30.537374 1.609700 18.122002 -1.088420 1.458737 -0.071944 0.000000 0.000000
226 863.488982 19.908467 1.159652 28.251643 -1.551069 1.212826 -0.056208 0.000000 0.000000
227 867.326711 12.738775 0.708267 41.932326 -2.013718 1.025982 -0.043790 0.000000 0.000000
228 871.164440 12.843550 -0.716933 41.636899 2.004855 1.029201 0.043790 0.000000 -0.000000
229 875.002168 20.079606 -1.168285 28.024239 1.542206 1.216969 0.056509 0.000000 -0.000000
230 878.839897 30.774682 -1.618306 17.962622 1.079557 1.464037 0.072245 0.000000 -0.000000
231 882.677626 44.919249 -2.067724 11.452046 0.616908 1.767817 0.082501 0.000000 -0.000000
232 886.515355 40.441787 1.936397 12.982456 -0.751712 1.675563 -0.082501 0.000000 -0.000000
233 890.353084 27.301894 1.487329 20.527712 -1.214361 1.385814 -0.067662 0.000000 -0.000000
234 894.190812 17.613698 1.036921 31.624010 -1.677010 1.156345 -0.051921 0.000000 -0.000000
235 898.028541 11.387578 0.585119 46.271350 -2.139659 0.980235 -0.043790 0.000000 -0.000000
236 901.866270 14.470137 -0.840007 37.579534 1.878914 1.075142 0.045048 0.000000 -0.000000
237 905.703999 22.648753 -1.290924 24.933531 1.416265 1.278243 0.060794 0.000000 -0.000000
238 909.541728 34.283693 -1.740549 15.838570 0.953616 1.541747 0.076526 0.000000 -0.000000
239 913.379456 49.141255 -1.241318 10.342724 0.291862 1.849748 0.046965 -0.000000 -0.000000
240 917.217185 36.523626 1.814218 14.684651 -0.877653 1.590781 -0.079107 -0.000000 -0.000000
241 921.054914 24.322211 1.364849 23.196563 -1.340302 1.317365 -0.063379 -0.000000 -0.000000
242 924.892643 15.575445 0.914113 35.259518 -1.802951 1.104342 -0.047634 -0.000000 -0.000000
243 928.730372 10.804849 -0.203143 48.535210 0.823791 0.957430 0.016296 -0.000000 0.000000
244 932.568100 16.353596 -0.962857 33.785310 1.752973 1.124443 0.049336 -0.000000 0.000000
245 936.405829 25.474041 -1.413467 22.105963 1.290324 1.343992 0.065078 -0.000000 0.000000
246 940.243558 38.047982 -1.862661 13.977659 0.827675 1.623929 0.080805 -0.000000 0.000000
247 944.081287 47.571708 2.141728 10.722459 -0.540946 1.819802 -0.082501 -0.000000 -0.000000
248 947.919016 32.860610 1.692053 16.649987 -1.003595 1.510373 -0.074827 -0.000000 -0.000000
249 951.756744 21.598546 1.242267 26.128556 -1.466244 1.253391 -0.059094 -0.000000 -0.000000
250 955.594473 13.793862 0.791212 39.158167 -1.928892 1.056794 -0.043790 -0.000000 -0.000000
251 959.432202 11.892993 -0.633989 44.517958 2.089680 0.998389 0.043790 -0.000000 0.000000
252 963.269931 18.493664 -1.085635 30.254227 1.627031 1.178223 0.053622 -0.000000 0.000000
253 967.107660 28.555262 -1.535905 19.541537 1.164383 1.414217 0.069361 -0.000000 0.000000
254 970.945389 42.067548 -1.985087 12.379889 0.701734 1.709766 0.082501 -0.000000 0.000000
255 974.783117 43.224968 2.019035 11.984280 -0.666887 1.733614 -0.082501 0.000000 0.000000
256 978.620846 29.452977 1.569762 18.878463 -1.129536 1.434438 -0.070546 0.000000 0.000000
257 982.458575 19.131101 1.119593 29.323689 -1.592185 1.193894 -0.054808 0.000000 0.000000
258 986.296304 12.269361 0.668063 43.319957 -2.054834 1.011047 -0.043790 0.000000 0.000000
259 990.134033 13.346300 -0.757138 40.283360 1.963739 1.044137 0.043790 0.000000 -0.000000
260 993.971761 20.890183 -1.208333 26.986285 1.501090 1.236481 0.057908 0.000000 -0.000000
261 997.809490 31.892187 -1.658228 17.240251 1.038441 1.488915 0.073643 0.000000 -0.000000
